splat,x,y,z,A_xx,A_xy,A_xz,A_yx,A_yy,A_yz,A_zx,A_zy,A_zz,norm,Cbar_0,Cbar_1,Cbar_2,Cbar_3,Cbar_4
0,0.015098294824179686,-0.020808390825758576,0.584198106664993,0.20349008088022946,0.0006417480688425494,0.00021504556951308372,0.0006417480688425499,0.19270614968715202,-0.0003974321315124633,0.00021504556951308385,-0.00039743213151246327,0.2264070813123131,0.21877145475256563,0.13740005771152142,-0.16674225106665766,0.6026854764530241,0.6735835678310097,0.7261831172682207
1,0.29578346877398987,0.19730547020025843,0.2787245856141095,0.7787889270293205,0.03598538809720003,0.01626800353217225,0.03598538809720002,0.747294219058482,0.03142499151421795,0.01626800353217229,0.031424991514217966,0.7570189004142956,0.5800197937519643,0.4471330428951142,0.22955893798485075,0.3298516066848074,-0.34149228778983837,0.030137492958915144
2,-0.26927287429349905,-0.061322037883022984,0.06791845491661283,1.4504149328808926,0.04545809113811753,0.09618662104220103,0.04545809113811751,1.2444880732711776,0.02297470889650021,0.09618662104220105,0.022974708896500277,1.2888266011197447,0.878798410292197,-0.36134428028961013,0.06489359098746496,-0.5277625671524996,0.3086955721950792,0.039564376281344335
3,-0.10574806473298323,0.17004190887650886,0.5184671878061218,0.9008934792711001,-0.028450264686209325,0.0016892565043958618,-0.028450264686209363,0.9314305984539614,0.06295508998241768,0.0016892565043959023,0.06295508998241776,1.0099273749701203,0.6829263187679647,0.24977264424665419,-0.048426096161141886,-0.018118747431696548,0.5848886388460114,0.4098378002336063
4,0.019668304158688824,0.07697048473016486,0.2639869806657824,3.3951641796940737,0.015507054751815614,-0.03644157064234605,0.0155070547518156,3.6132786176243163,0.09723281662851144,-0.03644157064234601,0.09723281662851155,3.4566004715689753,1.8183020198503974,0.6737807401796176,0.03197579041159142,0.12235762708968582,0.3230498983067899,0.3179482870594259
5,0.048216661155370134,-0.06687000501369979,0.27482688694491547,3.505035250721888,-0.10768844803922838,0.02582725510307998,-0.10768844803922821,3.694294318403926,-0.1116022357872868,0.025827255103080128,-0.11160223578728688,3.597291399364345,1.8610433300850513,-0.39439641665691516,-0.23896046752428718,0.7004188455527692,-0.1851639413690128,0.027528089395192874
6,-0.07193050281035687,-0.016132207090433573,0.20708554721242525,4.404567361077844,0.039524121414916444,-0.014834389661020641,0.03952412141491653,4.283127159370083,0.006698411904081142,-0.014834389661020624,0.006698411904081129,4.1602614876300095,2.121268907122993,-0.39307758459078856,-0.09034713873142908,-0.4996006044878279,0.5675990014432569,-0.003982003390610091
7,-0.009361528984861303,-0.025492763897459275,0.19476241950644962,17.68971378062476,0.12552060918931474,0.14765715566419016,0.1255206091893147,17.956126558773466,0.38793165805405583,0.1476571556641899,0.387931658054056,18.079960503531534,6.203402555435739,-0.05182975784620939,0.09993014630469366,-0.01262818219942908,-0.21525040424316863,-0.20420579296606686
8,0.017425715577076912,0.010910012120926751,0.2320222559423554,8.67868704515255,0.04379409071873869,0.04286637906975019,0.04379409071873811,8.632065723522823,0.017733754422005508,0.04286637906975048,0.017733754422005484,8.600609457080141,3.5906964249346687,0.1680150139770145,0.01989833399824508,0.2274042778323524,0.12408721615640655,-0.24525524973290208
9,-0.026508039555737058,-0.031638035801544326,0.22245267992741116,17.928123492241674,0.49939444418985335,-0.07645157500852083,0.49939444418985524,18.027631126170945,-0.09644477101910076,-0.07645157500852108,-0.09644477101910054,17.467631063361917,6.176579868109811,-0.1502448319122652,-0.11362942070943854,0.14357210864538777,0.1669136439850775,0.0380545241493927
10,0.015255617576412438,0.009365743538327767,0.23060797960056012,25.60713100525157,0.19640702998568013,0.216106485438395,0.19640702998568066,25.515508887840383,0.16295465253096325,0.21610648543839567,0.1629546525309629,25.46519173688738,8.094118991340224,0.0675033261027093,0.04524302538897907,0.1164896135620351,0.08993452829688231,-0.15966015352410728
11,-0.03320996935886819,0.0011279274268556343,0.20357181266789798,18.548704392500454,-0.04455612131173014,0.34289919636190086,-0.04455612131173036,17.778918922534103,-0.005362936885770234,0.3428991963619005,-0.005362936885770485,18.02138559809181,6.257098785456963,0.10262860707725827,0.06287628733825035,-0.1817067897784023,0.1914347646203391,-0.042725739608858636
12,-0.001390686157803844,-0.0009143083162171939,0.22078941417214498,68.26560331635183,0.07027364123064103,0.019131526271086406,0.0702736412306386,68.11407615327332,0.010130464616093841,0.01913152627108442,0.010130464616093786,68.17892208659545,16.91150270875837,0.0011659071566776362,0.04440385780567085,0.04436587965206172,0.09615598103597514,-0.14912118261473806
13,0.00031533829163725115,0.00037381343450441847,0.2218336970264508,258.5876242982591,-0.4255581329480981,0.03142016067046439,-0.4255581329480958,260.6963043578868,-0.05558232945801911,0.031420160670465276,-0.05558232945801922,258.61226298744134,46.05297867863804,0.002521625050112691,0.013426504239552385,0.014788551567319487,0.026561359670957033,-0.04113333220420545
14,0.001631921622954867,-0.009804982615950487,0.22177097417280656,1473.5205788513688,51.11982091499559,-0.7834757440562171,51.1198209149956,1194.6342317862907,4.585733919453535,-0.7834757440561236,4.585733919453517,1482.5434061781982,161.02640599012287,0.0006698441388242839,0.004843964014907662,0.004959276356316957,0.00968842699019904,-0.014757546907098879
15,0.0029605846855715397,-0.017344173392223886,0.2218904456615187,1488.3608583129258,-6.820709417451883,0.0020743623659831927,-6.82070941745189,1543.4893190502746,0.15128544528264964,0.002074362365972233,0.15128544528264887,1487.5588845821344,172.31750630902656,-0.000516325159160628,-0.0028163752136865206,-0.0028107718162401854,-0.005616213026338969,0.008452606302361276
16,-0.6450287866803706,-0.06584199630168719,-0.517408634504694,0.167951950940155,0.0016291759321190112,0.01366071485904234,0.0016291759321190094,0.12213380927857864,0.0029128259371359673,0.01366071485904234,0.0029128259371359656,0.14776151429646073,0.16688803972752697,-0.21205804643021822,-0.0034135248217576175,-0.5217635163021008,0.27892673691037956,-0.032642703428185364
17,0.4436152196184308,0.7939347587274153,-0.3650571129226674,0.194055561527553,0.015554620439102374,-0.011503039862076672,0.015554620439102362,0.18319893641871873,0.004792743129983983,-0.011503039862076667,0.0047927431299839935,0.17445885465348385,0.19941911194893974,0.4805044707955692,0.2327076219652558,0.025045146428333685,-0.34316755145731964,-0.12417192010340777
18,-0.338737090211162,0.5361328738846431,-0.29201647650364265,0.44240118770739595,-0.03432864858369051,0.02992252280430666,-0.03432864858369051,0.33435851499450375,0.023415560324839328,0.02992252280430663,0.023415560324839328,0.39270101358248605,0.3482947148090666,0.2302470491870168,0.25393332855214096,-0.4342291423628588,0.14590449647243114,0.05689397976610063
19,0.17745574933681935,0.10187784214330216,-0.10773950136949777,1.624012621534585,0.10346546652923587,-0.15280816856095622,0.10346546652923594,1.3995904588374424,-0.011888489327743891,-0.1528081685609563,-0.011888489327743893,1.590181484244669,0.9793104588151854,0.31285612299138044,0.3279415844868615,-0.013054324433492335,-0.5212225691887792,-0.23290208321932115
20,0.08878431969814195,1.2403739070184545,-1.1261556605372065,0.8722187651281362,0.06055892577454759,-0.0342227372462587,0.060558925774547585,1.0324582353635425,0.10009073900358478,-0.034222737246258676,0.10009073900358473,1.1209397186461163,0.7118068681595202,0.021435836938022007,0.04340954435109954,-0.03815706662957798,-0.027817118113169437,-0.013338432720699693
21,0.1269516204617514,0.34085301631857134,-0.2775615783986748,1.5563986237113705,0.24795914551453052,-0.19141181919372138,0.24795914551453052,1.0813528420166136,-0.0013621999122446484,-0.19141181919372138,-0.0013621999122446285,1.7335858110888167,0.9195845425948396,-0.2199838270997673,-0.16031056954267525,-0.02578548170969055,0.2212737340935747,0.06882492411865568
22,-0.05612374958113273,0.8906138513750245,-0.4061737054803936,1.470204571248643,-0.08023194022498097,0.0431393238671415,-0.08023194022498098,0.9104918263965276,0.36458191642555826,0.043139323867141505,0.3645819164255583,1.3602344432000708,0.8031195852466407,0.18355995000610442,0.147240513152797,-0.07262705188192208,-0.03549570548697965,0.024520478700612674
23,-0.08228206179726512,1.1288828109863798,-0.6887215429406206,3.186613983050147,-0.040290377783397995,0.10952241495260512,-0.04029037778339797,3.537948845493371,-0.16169743082318236,0.10952241495260517,-0.1616974308231824,3.3682267783765147,1.7677014895673866,-0.0002768570904387468,0.002252581985521188,0.007345986854209953,-0.013259196037771639,-0.005118849977139367
24,-0.06677349394507343,1.383690492550637,-0.9150383707648351,4.475521069517632,0.058769291942595774,0.19487864844177097,0.05876929194259578,4.2745975454700496,0.06351967676789265,0.1948786484417709,0.06351967676789255,4.865146390147929,2.2125352568877235,-0.0073750138125380105,0.0074231711327061405,-0.02635705968702686,0.020251721280098976,0.008562831482841933
25,-0.018221873108913433,1.4281576563241714,-0.9284760096331606,5.715498315691716,0.07321208887918695,0.14148648407287395,0.07321208887918686,6.006846204933367,-0.07666720281507754,0.14148648407287387,-0.0766672028150775,6.174901485363391,2.7189182951498503,0.01973685995479535,0.013505161074515064,0.0029264576627261157,-0.015006036580740692,-0.0032356235086984475
26,0.10803457885842897,1.4691109928580444,-0.7138949555990133,9.524406195612238,-0.12582947440965322,1.4883180766514754,-0.12582947440965306,8.063572794101013,-0.004532549603095766,1.4883180766514752,-0.004532549603095628,9.58778701508444,3.6897097104176297,0.0012554642505072566,0.0026212490078876415,-0.0021178523544831012,0.000652698903545005,0.0012690734450947672
27,-0.004176528199360809,1.4267232731758945,-0.9206683444342234,29.274518925051424,0.3449050601187731,0.011091985030531513,0.3449050601187745,30.700856138331005,-0.8600739595467685,0.011091985030531534,-0.860073959546768,25.735286514391678,8.786911935603332,-0.020056717295128975,-0.02511334834432588,0.007845492284251254,0.004705047193549646,-0.0019205623201010646
28,-0.016371671090559047,1.4076364001609778,-0.7798504862137666,20.183618708667268,0.8130603492283089,0.45330962091891125,0.8130603492283085,18.479088214815008,1.2328706925608888,0.45330962091891114,1.232870692560888,25.25410401549247,7.011841074299311,0.0017319824009097637,0.0019038703038128967,-0.0007804063564712251,-8.270741008585944e-05,0.00037263530637107213
29,-0.002606160298908181,1.4248873263673014,-0.9289865514676442,30.796417172393237,0.2689801712761041,0.0759746203286642,0.26898017127610396,31.971381442376355,-1.1741046364224033,0.0759746203286641,-1.1741046364224028,27.350166952729964,9.126100684049321,0.02328164084446108,0.029448571842856954,-0.011460425295481108,-0.005107546174438006,0.0026384999369343937
30,0.003166122042740875,1.4064604908678715,-1.0040686673860644,37.77052707635635,-0.3008917296230243,-0.5137323584737191,-0.3008917296230233,38.903916780130906,-0.5343473219853111,-0.5137323584737185,-0.5343473219853109,46.96379995717343,11.550410372989353,-0.0019707000360516896,-0.0024456565737314127,0.0012967359504623204,0.0004404649339200561,-0.0002553067709654059
31,0.20065906941882541,1.308522839279934,-0.8010049575428095,73.40408692477871,-0.49218623114251364,0.1981374902448747,-0.49218623114251486,74.834405780231,-0.6307276082365342,0.19813749024487493,-0.6307276082365346,73.51241676035214,17.965622053733522,1.7861589305251997e-05,5.0694967687291056e-05,-2.5842094047064662e-05,-2.689680127306771e-05,-7.0467092623236705e-06
32,-0.4453884076064277,-0.5021819944052794,-0.08753749949890015,0.44509716813413547,0.04217138987293949,0.023052344441680035,0.04217138987293949,0.3532497290509282,-0.04732090155825164,0.023052344441680032,-0.04732090155825164,0.3559711069014164,0.34366011167658256,-0.5296669496117248,-0.030659665081292906,-0.2398110815076891,0.20561689997522367,0.03943177331938175
33,0.32300554520755387,-0.7037283127415516,-0.08598583013665759,0.20345591799756677,-0.01519181055325611,-0.0071083096826731265,-0.015191810553256111,0.1943545718341339,-0.00921344605344729,-0.007108309682673129,-0.009213446053447294,0.18144616165790406,0.20691129681136683,-0.34368793666355196,0.07883872501296399,0.3001369287192951,-0.6993224261638282,-0.35150936688100626
34,0.24189368120363922,-0.37563606978245734,-0.46926674021005116,0.5880330046528306,-0.02456056029001108,-0.0460980943526113,-0.024560560290011083,0.39510453402595924,-0.06980483135866156,-0.04609809435261131,-0.06980483135866154,0.5605066142468177,0.4246423872277438,-0.08868407853675062,0.21811413934850551,-0.05356583694921534,-0.3497510703685507,-0.16206796871364135
35,0.07324729367818955,-0.257986043306637,0.44446806038661985,0.8772670517792772,-0.015985184980380762,0.025610058508716747,-0.01598518498038076,0.9619169682059228,-0.07918526849486791,0.025610058508716747,-0.0791852684948679,0.9751029749240784,0.6774909016236497,-0.5020874392427703,-0.12602023554862365,0.5884449888614985,-0.1738776692188373,0.08125031723643297
36,0.006011640231160617,-0.008329767950054636,0.10449360290266053,3.9920784486341665,-0.054270942430649984,-0.3546032198246781,-0.05427094243064992,4.106749408287954,-0.06935110103882942,-0.3546032198246781,-0.06935110103882944,3.873027873010277,2.0074885374550844,0.07318839387718373,0.36468634148573364,-0.317669741318446,-0.6623544464407666,-0.5490621251267145
37,0.03893243622908094,-1.051823375323322,-0.5078144152602851,1.5069161663971848,-0.042583864642475766,0.015866106515804453,-0.042583864642475766,1.2765990726656338,-0.28799440788785097,0.01586610651580445,-0.28799440788785097,1.3465350351888161,0.8928459864941942,-0.27498471860464524,0.04943655718381543,-0.0011334257850594714,-0.10992004331264567,-0.04965923890946855
38,0.06730926613162899,-1.043511953955376,-0.46060686851749993,1.4392629559166785,-0.03409213026782653,0.07524394860488763,-0.03409213026782657,1.948680400935795,0.21233309153845073,0.07524394860488766,0.21233309153845076,1.6169516697021233,1.0354977776198544,0.14186105877561966,-0.01414652167448489,0.011988762131877159,0.043289942179021684,0.027048465888306915
39,-0.13505611152264355,-0.04994027568901068,-0.1288431368556969,4.2567437116101905,0.05889800432717069,0.18335212000893003,0.058898004327170655,4.136665942197879,0.11620193513050782,0.18335212000892973,0.11620193513050774,4.669280078629935,2.1447495683406803,-0.015711853337549347,-0.07371904274132397,0.07804536894225989,0.12192190125867385,0.11799849747244122
40,0.08103968216233991,-1.2868211975515058,-0.7473282862589409,4.17657207646978,0.1989265830608656,0.3326647253118472,0.19892658306086566,5.186409142607572,0.21673294518556116,0.3326647253118473,0.2167329451855611,5.307952986285549,2.3289560977163433,-0.004298453232793519,0.00450206093654306,0.00195999771413348,-0.00668018154409845,-0.0009946332362214252
41,-0.02460610720438788,-1.4035182318479904,-0.9679238424019635,4.991330211117818,-0.063142993956727,0.0188769496722431,-0.0631429939567271,4.459653474268304,0.153882843364287,0.018876949672242807,0.15388284336428734,4.955935832317983,2.309048627683171,-0.012272985368465406,0.009959555323167675,-0.008828128720578655,-0.008719152616308335,-0.0045347676818961674
42,-0.23385454253436766,-1.259177333246121,-0.7316458577546172,2.9296096666863414,-0.11528344545962321,-0.14241834943777873,-0.11528344545962332,5.135896901797134,1.2999799170226103,-0.1424183494377787,1.2999799170226103,3.8199210098974006,1.917643564462022,-0.004299995385032129,0.0017047044642819332,-0.007102045239287304,0.006820231022791917,0.0029782397896631284
43,-0.00011017880563481972,-1.4388098354966408,-0.8691263958095089,16.917365179998967,0.15883930163572563,0.03146328776423549,0.1588393016357256,17.358383759602738,0.10677116923255517,0.031463287764235494,0.10677116923255407,17.175702613180007,6.006000929595629,-0.017832180378936923,0.0015363860338629407,0.01507538883096034,-0.0022417388168221608,0.002491310034972002
44,0.0015368543983158426,-1.438854176348403,-0.8693283330764509,22.294152807548045,0.09241973486659559,-0.05355047773652363,0.09241973486659522,22.925157615465977,0.041915011223526304,-0.053550477736523244,0.04191501122352626,23.038389171834435,7.424140121172647,0.008923187982441898,0.0009125548738660172,-0.02409483199466854,-0.003976759372467022,-0.006529835011560562
45,0.0022900152841998688,-1.438152061236787,-0.8710865097320978,31.387658457925145,0.004951444599666993,-0.1876406019951507,0.004951444599667049,32.31962304200464,0.03871400178775076,-0.18764060199515034,0.03871400178775097,32.78720981250939,9.62473181985042,0.0006769071816762176,-1.7393181741334978e-05,0.01147368568723186,0.003581478096579718,0.003885844467175927
46,0.001503346561737589,-1.4282491906257158,-0.8862322816125134,66.76964844978895,-0.03374828305896813,-0.028934259339163763,-0.0337482830589685,68.19002728011291,0.055150798979268195,-0.028934259339163767,0.05515079897926814,71.57956166990569,17.028728665686067,0.034055441798350586,0.017504324292451065,0.035972853063335995,0.020812103050993697,0.022395093218871998
